City,Suburb,"Sales
4Q 2018","Median
4Q 2018","Sales
4Q 2019","Median
4Q 2019","Median
Change"
ADELAIDE,ADELAIDE,5,1590000,4,770117,-0.5156
ADELAIDE,NORTH ADELAIDE,9,1395000,10,1352500,-0.0305
ADELAIDE HILLS,ALDGATE,9,747500,14,753250,0.0077
ADELAIDE HILLS,ASHTON,,,,,
ADELAIDE HILLS,BASKET RANGE,1,640000,1,375000,-0.4141
ADELAIDE HILLS,BELAIR,20,663500,12,775506,0.1688
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,16,479000,15,515000,0.0752
ADELAIDE HILLS,CAREY GULLY,,,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,1,618500,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,6,770000,13,637500,-0.1721
ADELAIDE HILLS,CRAFERS WEST,3,818000,8,957500,0.1705
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,2,556250,4,728000,0.3088
ADELAIDE HILLS,HEATHFIELD,5,648000,5,600000,-0.0741
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,,,
ADELAIDE HILLS,LONGWOOD,,,1,605000,
ADELAIDE HILLS,MARBLE HILL,,,,,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,,,2,615000,
ADELAIDE HILLS,MYLOR,2,407500,,,
ADELAIDE HILLS,NORTON SUMMIT,1,530000,,,
ADELAIDE HILLS,PICCADILLY,2,715500,2,565000,-0.2103
ADELAIDE HILLS,ROSTREVOR,27,637500,32,600000,-0.0588
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,13,895000,15,842500,-0.0587
ADELAIDE HILLS,STONYFELL,3,1150000,5,1100000,-0.0435
ADELAIDE HILLS,SUMMERTOWN,1,702112,1,761000,0.0839
ADELAIDE HILLS,TERINGIE,1,1701250,4,767500,-0.5489
ADELAIDE HILLS,UPPER STURT,5,540000,4,507500,-0.0602
ADELAIDE HILLS,URAIDLA,1,465000,2,538500,0.1581
ADELAIDE HILLS,WATERFALL GULLY,2,1015000,,,
ADELAIDE HILLS,WOODFORDE,4,899000,5,727500,-0.1908
BURNSIDE,AULDANA,4,1362500,5,955000,-0.2991
BURNSIDE,BEAUMONT,10,877500,9,1140000,0.2991
BURNSIDE,BEULAH PARK,6,797500,4,740060,-0.072
BURNSIDE,BURNSIDE,18,910000,14,870000,-0.044
BURNSIDE,DULWICH,2,1187500,2,885000,-0.2547
BURNSIDE,EASTWOOD,4,692500,2,823500,0.1892
BURNSIDE,ERINDALE,5,1110000,7,1090250,-0.0178
BURNSIDE,FREWVILLE,2,932500,1,1020000,0.0938
BURNSIDE,GLEN OSMOND,6,792500,4,1012500,0.2776
BURNSIDE,GLENSIDE,3,710000,7,1007950,0.4196
BURNSIDE,GLENUNGA,7,1530000,5,941500,-0.3846
BURNSIDE,HAZELWOOD PARK,6,795000,6,910000,0.1447
BURNSIDE,HORSNELL GULLY,,,,,
BURNSIDE,KENSINGTON GARDENS,7,1040000,8,990000,-0.0481
BURNSIDE,KENSINGTON PARK,7,948500,6,894000,-0.0575
BURNSIDE,LEABROOK,3,2294500,4,1700000,-0.2591
BURNSIDE,LEAWOOD GARDENS,,,1,1211000,
BURNSIDE,LINDEN PARK,8,990000,10,1020944,0.0313
BURNSIDE,MAGILL,27,675000,31,648000,-0.04
BURNSIDE,MOUNT OSMOND,,,2,920000,
BURNSIDE,ROSE PARK,6,1562000,3,1500000,-0.0397
BURNSIDE,ROSSLYN PARK,4,1097500,3,915000,-0.1663
BURNSIDE,SKYE,,,2,959000,
BURNSIDE,ST GEORGES,6,1375000,6,919000,-0.3316
BURNSIDE,STONYFELL,3,1150000,5,1100000,-0.0435
BURNSIDE,TOORAK GARDENS,10,1400000,5,1450000,0.0357
BURNSIDE,TUSMORE,8,1222500,5,1147500,-0.0613
BURNSIDE,WATERFALL GULLY,2,1015000,,,
BURNSIDE,WATTLE PARK,9,865000,13,890000,0.0289
CAMPBELLTOWN,ATHELSTONE,31,538800,17,572500,0.0625
CAMPBELLTOWN,CAMPBELLTOWN,30,545500,23,560500,0.0275
CAMPBELLTOWN,HECTORVILLE,9,583000,10,500000,-0.1424
CAMPBELLTOWN,MAGILL,27,675000,31,648000,-0.04
CAMPBELLTOWN,NEWTON,15,539000,25,544000,0.0093
CAMPBELLTOWN,PARADISE,26,534000,16,510000,-0.0449
CAMPBELLTOWN,ROSTREVOR,27,637500,32,600000,-0.0588
CAMPBELLTOWN,TRANMERE,6,631000,9,641000,0.0158
CHARLES STURT,ALBERT PARK,6,430500,10,505000,0.1731
CHARLES STURT,ALLENBY GARDENS,5,693750,4,500000,-0.2793
CHARLES STURT,ATHOL PARK,6,402500,4,412000,0.0236
CHARLES STURT,BEVERLEY,10,487500,2,545000,0.1179
CHARLES STURT,BOWDEN,2,606000,3,652000,0.0759
CHARLES STURT,BROMPTON,6,605500,3,551500,-0.0892
CHARLES STURT,CHELTENHAM,8,515000,8,443500,-0.1388
CHARLES STURT,CROYDON,2,660000,4,645000,-0.0227
CHARLES STURT,DEVON PARK,5,479000,1,477000,-0.0042
CHARLES STURT,FINDON,17,552000,19,535000,-0.0308
CHARLES STURT,FLINDERS PARK,20,607500,15,625000,0.0288
CHARLES STURT,FULHAM GARDENS,14,687500,18,746000,0.0851
CHARLES STURT,GRANGE,22,775000,12,745000,-0.0387
CHARLES STURT,HENDON,3,421000,6,390000,-0.0736
CHARLES STURT,HENLEY BEACH,23,905000,19,900000,-0.0055
