City,Suburb,"Sales
4Q 2015","Median
4Q 2015","Sales
4Q 2016","Median
4Q 2016","Median
Change"
ADELAIDE,ADELAIDE,9,677500,6,683000,0.0081
ADELAIDE,NORTH ADELAIDE,8,1780000,6,1231000,-0.3084
ADELAIDE HILLS,ALDGATE,14,745000,10,695000,-0.0671
ADELAIDE HILLS,ASHTON,,,,,
ADELAIDE HILLS,BASKET RANGE,,,,,
ADELAIDE HILLS,BELAIR,23,618000,18,623000,0.0081
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,19,472000,12,490500,0.0392
ADELAIDE HILLS,CAREY GULLY,,,1,600000,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,9,620000,8,621500,0.0024
ADELAIDE HILLS,CRAFERS WEST,9,547500,6,787500,0.4384
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,3,655000,3,455000,-0.3053
ADELAIDE HILLS,HEATHFIELD,4,832500,1,554000,-0.3345
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,1,855000,,,
ADELAIDE HILLS,LONGWOOD,1,400050,,,
ADELAIDE HILLS,MARBLE HILL,,,1,570000,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,,,,,
ADELAIDE HILLS,MYLOR,,,1,,
ADELAIDE HILLS,NORTON SUMMIT,1,610000,1,530000,-0.1311
ADELAIDE HILLS,PICCADILLY,4,732500,3,633000,-0.1358
ADELAIDE HILLS,ROSTREVOR,28,646000,29,556250,-0.1389
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,11,740000,13,822000,0.1108
ADELAIDE HILLS,STONYFELL,8,964180,7,890000,-0.0769
ADELAIDE HILLS,SUMMERTOWN,,,1,550000,
ADELAIDE HILLS,TERINGIE,3,765000,2,578000,-0.2444
ADELAIDE HILLS,UPPER STURT,3,520000,5,532500,0.024
ADELAIDE HILLS,URAIDLA,1,400000,,,
ADELAIDE HILLS,WATERFALL GULLY,,,,,
ADELAIDE HILLS,WOODFORDE,4,766250,1,682500,-0.1093
BURNSIDE,AULDANA,3,851944,1,2535000,1.9755
BURNSIDE,BEAUMONT,17,845000,7,825000,-0.0237
BURNSIDE,BEULAH PARK,6,736000,6,810500,0.1012
BURNSIDE,BURNSIDE,17,800000,8,688000,-0.14
BURNSIDE,DULWICH,7,1040000,7,985000,-0.0529
BURNSIDE,EASTWOOD,4,462000,2,539000,0.1667
BURNSIDE,ERINDALE,5,880000,5,1096000,0.2455
BURNSIDE,FREWVILLE,3,735000,3,643000,-0.1252
BURNSIDE,GLEN OSMOND,11,970000,10,1150000,0.1856
BURNSIDE,GLENSIDE,3,1300000,3,824000,-0.3662
BURNSIDE,GLENUNGA,4,858750,5,969444,0.1289
BURNSIDE,HAZELWOOD PARK,3,971500,6,914500,-0.0587
BURNSIDE,HORSNELL GULLY,,,,,
BURNSIDE,KENSINGTON GARDENS,5,725500,7,1000000,0.3784
BURNSIDE,KENSINGTON PARK,7,845000,15,953250,0.1281
BURNSIDE,LEABROOK,3,2000000,4,1262500,-0.3688
BURNSIDE,LEAWOOD GARDENS,,,1,816000,
BURNSIDE,LINDEN PARK,9,900000,8,815000,-0.0944
BURNSIDE,MAGILL,36,597525,25,686000,0.1481
BURNSIDE,MOUNT OSMOND,2,878500,1,670000,-0.2373
BURNSIDE,ROSE PARK,4,1280000,4,2000000,0.5625
BURNSIDE,ROSSLYN PARK,6,915000,5,770000,-0.1585
BURNSIDE,SKYE,,,1,,
BURNSIDE,ST GEORGES,2,1092500,6,967500,-0.1144
BURNSIDE,STONYFELL,8,964180,7,890000,-0.0769
BURNSIDE,TOORAK GARDENS,5,1580000,8,1237000,-0.2171
BURNSIDE,TUSMORE,3,1000000,7,900000,-0.1
BURNSIDE,WATERFALL GULLY,,,,,
BURNSIDE,WATTLE PARK,13,830000,8,835000,0.006
CAMPBELLTOWN,ATHELSTONE,22,487000,41,518500,0.0647
CAMPBELLTOWN,CAMPBELLTOWN,31,502500,48,510000,0.0149
CAMPBELLTOWN,HECTORVILLE,16,465000,10,625000,0.3441
CAMPBELLTOWN,MAGILL,36,597525,25,686000,0.1481
